matchup_type,game_num,num_moves,total_time_sec
Baseline-Baseline,74,36,0.006887083000037819
Baseline-Baseline,75,19,0.005088874997454695
Baseline-Baseline,76,28,0.009248583002772648
Baseline-Baseline,77,36,0.009327291998488363
Baseline-Baseline,78,26,0.007158749998779967
Baseline-Baseline,79,32,0.013089500003843568
Baseline-Baseline,80,6,0.002520375004678499
Baseline-Baseline,81,26,0.009055666996573564
Baseline-Baseline,82,15,0.007375041997875087
Baseline-Baseline,83,29,0.008756374998483807
Baseline-Baseline,84,23,0.010446165993926115
Baseline-Baseline,85,13,0.0047347910003736615
Baseline-Baseline,86,14,0.007463125002686866
Baseline-Baseline,87,23,0.006242834002478048
Baseline-Baseline,88,16,0.007766624999931082
Baseline-Baseline,89,13,0.0050833749992307276
Baseline-Baseline,90,33,0.009009624998725485
Baseline-Baseline,91,21,0.008403875006479211
Baseline-Baseline,92,29,0.009766457995283417
Baseline-Baseline,93,24,0.007245000000693835
Baseline-Baseline,94,24,0.008351499993295874
Baseline-Baseline,95,29,0.008800791998510249
Baseline-Baseline,96,37,0.008126624998112675
Baseline-Baseline,97,19,0.007449582997651305
Baseline-Baseline,98,20,0.005672041996149346
Baseline-Baseline,99,32,0.009250582996173762
Baseline-Baseline,100,6,0.002479082999343518
Minimax-Baseline,1,23,0.05710216700390447
Minimax-Baseline,2,10,0.04056445800233632
Minimax-Baseline,3,23,0.06982429200434126
Minimax-Baseline,4,6,0.017364083003485575
Minimax-Baseline,5,23,0.058995499995944556
Minimax-Baseline,6,6,0.01755550000234507
Minimax-Baseline,7,23,0.054043916999944486
Minimax-Baseline,8,18,0.05013212500489317
Minimax-Baseline,9,21,0.05185841699858429
Minimax-Baseline,10,16,0.03926733299886109
Minimax-Baseline,11,23,0.056791208997310605
Minimax-Baseline,12,18,0.05675270799838472
Minimax-Baseline,13,19,0.05672350000531878
Minimax-Baseline,14,22,0.055119208998803515
Minimax-Baseline,15,19,0.06835095800488489
Minimax-Baseline,16,20,0.05822491599974455
Minimax-Baseline,17,23,0.07072812499973224
Minimax-Baseline,18,20,0.06203112500224961
Minimax-Baseline,19,27,0.07836800000222865
Minimax-Baseline,20,22,0.06724366699927486
Minimax-Baseline,21,11,0.03994687499653082
Minimax-Baseline,22,20,0.06260104100510944
Minimax-Baseline,23,11,0.04088358299486572
Minimax-Baseline,24,24,0.0552519159973599
Minimax-Baseline,25,26,0.05878224999469239
Minimax-Baseline,26,22,0.03504554199753329
Minimax-Baseline,27,32,0.07399725000141189
Minimax-Baseline,28,6,0.017616915996768512
Minimax-Baseline,29,19,0.07082500000251457
Minimax-Baseline,30,14,0.04876837499614339
Minimax-Baseline,31,25,0.0528936669943505
Minimax-Baseline,32,20,0.03709283300122479
Minimax-Baseline,33,21,0.0665702499973122
Minimax-Baseline,34,12,0.04077716599567793
Minimax-Baseline,35,19,0.052815667004324496
Minimax-Baseline,36,33,0.0745623330003582
Minimax-Baseline,37,27,0.05270225000276696
Minimax-Baseline,38,16,0.03105712500109803
Minimax-Baseline,39,13,0.044098625003243797
Minimax-Baseline,40,6,0.01740583300124854
Minimax-Baseline,41,19,0.054391167002904695
Minimax-Baseline,42,22,0.058894916001008824
Minimax-Baseline,43,17,0.049380791002477054
Minimax-Baseline,44,24,0.07468816700566094
Minimax-Baseline,45,33,0.08450720899418229
Minimax-Baseline,46,16,0.053220624999084976
Minimax-Baseline,47,19,0.05756670799746644
Minimax-Baseline,48,29,0.06709870899794623
Minimax-Baseline,49,21,0.053134082998440135
Minimax-Baseline,50,18,0.05688587499753339
Minimax-Baseline,51,9,0.03645975000108592
Minimax-Baseline,52,6,0.01741362499888055
Minimax-Baseline,53,25,0.07117162500071572
Minimax-Baseline,54,28,0.08487741599674337
Minimax-Baseline,55,27,0.051756959001068026
Minimax-Baseline,56,16,0.04933687500306405
Minimax-Baseline,57,25,0.05544045900023775
Minimax-Baseline,58,22,0.06964662499376573
Minimax-Baseline,59,18,0.053600499995809514
Minimax-Baseline,60,22,0.058676792003097944
Minimax-Baseline,61,19,0.05088666600204306
Minimax-Baseline,62,23,0.054970917000900954
Minimax-Baseline,63,21,0.055782916002499405
Minimax-Baseline,64,22,0.047326959000201896
Minimax-Baseline,65,29,0.060147750002215616
Minimax-Baseline,66,16,0.03272941700561205
Minimax-Baseline,67,19,0.045209625001007225
Minimax-Baseline,68,6,0.017449250000936445
Minimax-Baseline,69,23,0.058635624998714775
Minimax-Baseline,70,6,0.017505333002191037
Minimax-Baseline,71,25,0.08022520800295752
Minimax-Baseline,72,20,0.054785207998065744
Minimax-Baseline,73,21,0.04696595799759962
Minimax-Baseline,74,16,0.03727941699617077
Minimax-Baseline,75,19,0.051087208004901186
